text_raw,label,text_cleaned
Phản ánh một thực tế khoảng cách giàu nghèo ngày càng lớn. Vẫn còn nhiều đứa trẻ không biết bánh trung thu là gì. Chạnh lòng.,0,phản_ánh thực_tế khoảng_cách giàu nghèo ngày_càng đứa trẻ bánh trung_thu chạnh_lòng
Messi vẫn chơi hay nhất trận.,0,messi trận
Ở đâu cũng có những kẻ dở hơi!,1,kẻ dở_hơi !
"Không thể nào xót xa hơn khi nghĩ tới việc bé bị bỏ rơi thế này. Căm phẫn loại người đi làm chuyện này. Mong bé khỏe mạnh. Các bạn làm công tác bảo vệ sự sống thai nhi thật tuyệt vời, mong các bạn sức khỏe.",0,không_thể_nào xót_xa bé bỏ_rơi căm_phẫn đi mong bé khỏe_mạnh công_tác bảo_vệ sống thai_nhi tuyệt_vời mong sức_khỏe
Kia - Soluto thì thiếu tí tẹo.,0,kia soluto tí_tẹo
May là rắn không có độc không thì cá gặp diêm vương rồi,0,may rắn độc cá diêm vương
"Công an thực hiện nhiệm vụ vô cùng tuyệt vời cho dân, cho nước. Nhiệm vụ vô cùng nguy hiểm với côn đồ có súng nhưng đã bắt được bọn buôn ma túy lớn. Cảm ởn các anh rất nhiều !!!!!",0,công_an thực_hiện nhiệm_vụ vô_cùng tuyệt_vời dân nhiệm_vụ vô_cùng nguy_hiểm côn_đồ súng bắt bọn buôn ma_túy cảm_ởn ! ! ! ! !
Thích vụ ko tạo scandal!,0,vụ scandal !
"Có lẽ đây là lý do nhiều người miền nam có màu da sạm hơn đồng bào miền bắc,vì mọi món đều cho chút đường.",0,có_lẽ lý_do miền nam màu_da sạm đồng_bào miền bắc món chút đường
Đọc tin mà thấy căm hờnMặt người dạ thú chẳng còn lương triSói lang chẳng chút từ biXuống tay tàn bạo khác chi hung thầnVừa tồi vừa ác vừa bầnKịch khung mà xử chẳng cần phải nươngĐau lòng xin thắp nén hươngTiễn người về chốn thiên đường xa xăm.,1,đọc căm hờnmặt thú chẳng lương trisói lang chẳng chút bixuống tàn_bạo chi hung thầnvừa tồi ác bầnkịch khung xử chẳng nươngđau thắp nén hươngtiễn chốn thiên_đường xa_xăm
Mong chính quyền thành phố dẹp hết giang hồ cho mọi người được nhờ.,0,mong chính_quyền thành_phố dẹp giang_hồ
Biden - Harris sẽ thắng.,0,biden harris thắng
"Nhập một két nước 24 chai có 60 ngàn tính ra có 2.500 đ/chai. Trong khi bao nhiêu lượt vận chuyển, bôc vác và lưu kho, thật sự không biết nước đó bổ béo gì không mà thanh niên uống ngày mấy chai",0,nhập két 24 chai 60 ngàn 500 chai bao_nhiêu lượt vận_chuyển bôc vác lưu kho thật_sự bổ béo thanh_niên uống mấy chai
"Xinh đẹp,tài giỏi,có trình độ,hiểu biết rộng nên đi làm diễn viên.",0,xinh_đẹp tài_giỏi trình_độ hiểu_biết rộng đi diễn_viên
"CẢM ƠN TẤT CẢ CÁC BẠN , CHÚNG TÔI VÔ CÙNG BIẾT ƠN VÀ YÊU MẾN CÁC BẠN :VN:",0,cảm_ơn tất_cả chúng_tôi vô_cùng biết_ơn yêu_mến vn
"Bàn tay nhanh nhẹn quá, chúc mừng chú, gia đình là quan trọng nhất",0,bàn_tay nhanh_nhẹn chúc_mừng gia_đình quan_trọng
Cái đầm cửa Hà kiều anh trông nhạt nhẽo quá !,1,ca đâ cư a_ha kiê trông nhạt_nhe !
Cũng đẹp,0,đẹp
Sĩ quan này rất thẳng thắn và mạnh mẽ. Tôi hy vọng Biden sẽ trở thành tân tổng thống của Hoa Kỳ,0,sĩ_quan thẳng_thắn mạnh_mẽ hy_vọng biden trở_thành tân tổng_thống hoa kỳ
"Hở ra 1 cái là kêu gọi hi sinh kinh tế, làm gì thì cũng phải hợp lí , chống dịch là để sống nhưng ko có kinh tế thì sống kiểu gì",0,hở kêu_gọi hi_sinh kinh_tế hợp_lí chống dịch sống kinh_tế sống kiểu
tuổi thơ mình gắn liền với hai tác phẩm. dế mèn phiêu lưu ký và bẩy viên ngọc rồng. ngoài ra vẫn còn một số tác phẩm khác. cái tết của mèo con. giờ già quá rùi,0,tuổi_thơ gắn liền hai tác_phẩm dế_mèn phiêu_lưu ký bẩy viên ngọc rồng ngoài_ra một_số tác_phẩm tết mèo giơ già rùi
Lần đầu tiên quê hương Ninh Bình của mình có thí sinh vào chung kết. Chúc cháu thành công mang vinh quang về,0,đầu_tiên quê_hương ninh bình thí_sinh chung_kết chúc cháu thành_công vinh_quang
"Đúng là để Messi tự do sẽ rất nguy hiểm. Đối thủ cứ lo kèm Messi. Mà quên rằng trái bóng không nhất thiết phải qua chân Messi nữa, mà nó sẽ đến vị trí của cầu thủ nào đang chiếm được khoảng trống. Bóng đá hiện đại là thế. Chúc Mừng Barca đã đi đúng hướng. Chúc Mừng Messi đã trút bỏ áp lực.",0,messi tự_do nguy_hiểm đối_thủ lo kèm messi quên trái bóng nhất_thiết chân messi vị_trí cầu_thủ chiếm trống bóng_đá hiện_đại chúc_mừng barca đi hướng chúc_mừng messi trút áp_lực
Chúc mừng và cảm ơn các bạn. Hy vọng Netflix sẽ mua bản quyền phát hành online toàn thế giới phim RÒM để tụi mình có thể thưởng thức.,0,chúc_mừng cảm_ơn hy_vọng netflix mua bản_quyền phát_hành online toàn thế_giới phim ròm tụi có_thể thưởng_thức
Vậy mà ở London thì người dân lại biểu tình đòi tháo khẩu trang ra.,0,vậy_mà london dân biểu_tình đòi tháo khẩu_trang
Tôi không thể để cậu ấy rời CLB. Messi là cầu thủ hay nhất mọi thời đại và đội bóng cần cậu ấy. Sở hữu Messi là một sự đảm bảo thành công.,0,không_thể rời clb messi cầu_thủ thời_đại đội bóng sở_hữu messi đảm_bảo thành_công
"Học đại học còn có mấy bạn vô ý thức, quan trọng con người thôi",1,học đại_học mấy vô_ý_thức quan_trọng con_người
"Quê hương đất Quảng rất tự hào và kiên cường trong mọi thời kỳ, sinh ra những anh kiệt làm rạng rỡ đất Việt. Cảm ơn các tác giả.",0,quê_hương đất quảng tự_hào kiên_cường thời_kỳ sinh kiệt rạng_rỡ đất việt cảm_ơn tác_giả
"1. Tham gia bảo hiểm lúc chưa cần, vì lúc cần rồi thì ko tham gia đc nữa, nếu đc thì phí cũng rất cao.2. Tham gia càng sớm phí đóng càng thấp3. Lúc nằm 1 chỗ, đóng bỉm mới thấy có bảo hiểm nó lợi hơn ở chỗ nào",0,tham_gia_bảo_hiểm tham_gia phí tham_gia phí đóng thấp3 nằm chỗ đóng bỉm bảo_hiểm lợi chỗ
Vậy thì luật này vẫn chưa có sức dăn đeĐã là luật thì sao không thực hiện đúng.Dù đó là ai? Và có thế nào thì cũng phải chịu chứ. Nếu giam nó 6 tháng rồi tháng thứ ba lại vờ vĩnh bị ốm yếu thế là xong à .,1,luật sức dăn đeđã luật thực_hiện ? thế_nào giam vờ_vĩnh ốm_yếu_thế_là xong
"ngoại ngữ như tiếng mẹ đẻ thôi,",0,ngoại_ngữ tiếng mẹ_đẻ
"Thắng là vui rồi! Đội bóng lớn phải là đội không những phải biết vùi dập đối thủ trong một ngày đẹp trời mà còn phải biết kiếm được 3 điểm trong một ngày mình chơi không tốt! Chúc mừng gooner, tôi tin là năm nay với những con người này, Arsenal sẽ tạo ra một điều đặc biệt!",0,thắng vui ! đội bóng đội không_những vùi_dập đối_thủ đẹp trời kiếm ! chúc_mừng gooner con_người arsenal đặc_biệt !
"Trong cuộc sống của con người, tôi cũng rất ghét những đứa con to xác nhưng luôn lười biếng và ăn bám trên thân xác những cha mẹ gầy guộc.",1,cuộc_sống con_người ghét đứa to xác lười_biếng ăn_bám thân_xác cha_mẹ gầy_guộc
Mấy kiểu này ở Việt Nam bán lâu rồi,0,mấy kiểu việt_nam
Các thanh thiếu niên ngày càng dễ dãi nhưng thiếu kiến thức phòng tránh hoặc quá chủ quan dẫn đến những hệ lụy không tốt.,0,thiếu_niên ngày_càng dễ_dãi kiến_thức phòng_tránh chủ_quan hệ_lụy
"Cuộc sống còn nhiều khó khăn thiết nghĩ bà con không nên sinh đẻ nhiều quá, vừa không lo đủ miếng ăn, vừa không đảm bảo việc học hành cho con cái, khổ từ đời cha đến đời con thôi.",0,cuộc_sống_còn khó_khăn thiết_nghĩ bà_con sinh_đẻ lo miếng đảm_bảo học_hành con_cái khổ đời đời
"Không phải nặng,chỉ đơn giản các bé không học trước lớp 1 thì sẽ không học kịp nổi chương trình mà thôi",0,đơn_giản bé học lớp học kịp nổi chương_trình
"Có xem một tập trong thời gian đó, hình như đang học lớp 5,6 gì thì phải , tui sinh 1984 cảm giác truyện rất ok nhưng thời đó do còn nhỏ nên ít đọc truyện chữ",0,tập thời_gian hình_như học lớp tui sinh 1984 cảm_giác truyện ok thời đọc truyện chữ
Không mợ thì chợ vẫn đông,0,chợ đông
"Khả năng bên trong lõi mặt trời có sự sống cấp cao? ngược lại với trái đất, trong lõi của mặt trời lại rất át mẻ",0,khả_năng lõi mặt_trời sống ? ngược_lại trái_đất lõi mặt_trời át mẻ
Khả năng 99% Trump vẫn sẽ được tín nhiệm và tái đắc cử.,0,khả_năng 99 trump tín_nhiệm tái đắc_cử
Phải sửa chữa thôi bởi vì những vật trưng bầy mỹ thuật trong tòa nhà ko còn mỹ thuật nữa thì sẽ ko phải là viện bảo tàng mỹ thuật.,0,sửa_chữa bởi_vì vật trưng_bầy mỹ_thuật tòa mỹ_thuật viện bảo_tàng mỹ_thuật
Lành bệnh cố gắng kiếp việc an toàn làm kiếm tiền nhé anh chị. Hãy nhớ con cái thà chịu gd thiếu thốn vật chất chứ các con không chịu cảnh thiếu thốn cha - mẹ đâu.,0,lành bệnh cố_gắng kiếp an_toàn kiếm tiền anh_chị con_cái gd thiếu_thốn vật_chất cảnh thiếu_thốn cha_mẹ
"Tốt nhất hãy gửi bé vào 1 cơ sở thiện nguyện nào đó ít nhất bé sẽ có đc 1 cuộc sống như 1 con người, được ăn được học",0,gửi bé cơ_sở thiện nguyện ít_nhất bé cuộc_sống con_người học
Đọc báo thấy Binden hơn Trump tất cả các mặt. Từ tấm lòng nhân ái cho đến sự ủng hộ của tất cả,0,đọc báo binden trump tất_cả mặt nhân_ái ủng_hộ tất_cả
Đề nghị các bác trả lại tên cho em là Trái Nước nhá.......,0,đề_nghị trái nhá
Phải làm gắt gao ngay từ sân bay kẻo ra cộng đồng thật nguy hiểm :(,0,gắt_gao sân_bay kẻo cộng_đồng nguy_hiểm
Cách ly vĩnh viễn khỏi xã hội. Mong các cháu lớn và lên xóa sạch kỹ ức đau khổ này,1,cách_ly vĩnh_viễn xã_hội mong cháu xóa_sạch kỹ ức đau_khổ
"Em cũng đang phân vân kona bản đặc biệt và seltos 1.4 pre. So vớii kona e thấy seltos thiếu phanh BA, hệ thống chống trượt thân xe, hỗ trợ xuống dốc, cảnh báo điểm mù và cảm biến áp xuất lốp. Toàn công nghệ an toàn mà Thaco lại cắt đi.",0,phân_vân kona đặc_biệt seltos pre vớii kona seltos phanh hệ_thống chống trượt thân xe hỗ_trợ xuống_dốc cảnh_báo điểm_mù cảm_biến_áp xuất lốp toàn công_nghệ an_toàn thaco cắt đi
"Nếu không tìm hiểu về trang bị hay so sánh thì seltos luxury ngay và luôn: Thiết kế đẹp, rộng hơn, hàng ghế sau rộng hơn có điều hòa phía sau). Nếu đã tìm hiểu và so sánh thì sẽ rất là khó chọn, theo mình thì 50/50. nhưng mình sẽ chọn Kona (hơn về an toàn)Phát biểu của người chưa có xe xD",0,tìm_hiểu trang_bị so_sánh seltos luxury thiết_kế đẹp rộng hàng ghế rộng có_điều hòa tìm_hiểu so_sánh 50 50 kona an_toàn phát_biểu xe xd
Wakanda Forever! Di sản của anh sẽ tiếp tục được tiếp nối siêu anh hùng của người da màu.,0,wakanda forever ! di_sản tiếp_tục tiếp nối siêu anh_hùng da_màu
Cá to quá nên thả nó về tự nhiên đi anh.,0,cá to thả tự_nhiên đi
"Nhà em đang chạy cả Kia và Hyundai nên đánh giá là chất lượng lắp ráp của Kia vẫn dưới Hyundai, nhựa của Kia lắp lởm rất hay bị cọt kẹt, đi Hyundai vẫn thấy chắc xe hơn",0,chạy kia hyundai đánh_giá chất_lượng lắp_ráp kia hyundai nhựa kia lắp lởm cọt_kẹt đi hyundai xe
Quan trọng là linh kiện thay thế sau khi hết hạn bảo hành.cái này thì bạn chọn fadil là ok nhất.,0,quan_trọng linh_kiện thay_thế hạn bảo_hành fadil ok
Chuyện ly kỳ..!,0,ly_kỳ !
Nhật hàn thì cũng vn lắp ráp thôi. Thế giới phẳng rồi. Khoảng cách không còn xa nhau đâu.,0,nhật hàn vn lắp_ráp thế_giới phẳng khoảng_cách
một sự cố hy hữu,0,sự_cố hy_hữu
"accent cụ nhé. Nhìn xe kiểu Châu âu, dáng đẹp, công nghệ tốt",0,accent cụ xe kiểu châu âu dáng đẹp công_nghệ
nên cho phép chọn đóng 1 lần hoặc nhiều lần để người dân lựa chọn,0,phép đóng dân lựa_chọn
"Chúc anh và cháu thật nhiều sức khỏe, hạnh phúc để đạt được thành quả trong cuộc sống và học tập của cháu.",0,chúc cháu sức_khỏe hạnh_phúc thành_quả cuộc_sống học_tập cháu
Cứ VIOS mà múc bác. Toyota number one. Rất đẳng cấp. ,0,vios múc toyota number one đẳng_cấp
"Tôi ủng hộ ông Trump, mong ông được thêm một nhiệm kỳ nữa",0,ủng_hộ trump mong nhiệm_kỳ
"quá coi thường pháp luật, hôm nay nhìn kỹ mới thấy trước giờ toàn uống bia giả, hệ thống phân phối của nó phải nói quá dữ",0,coi_thường pháp_luật hôm_nay kỹ toàn uống bia giả hệ_thống phân_phối
"Khi bạn là cá sấu nước mặn nhưng sống chung và chơi chung hội với cá heo quá lâu thành ra thế, hết biết, điều này cho thấy bạn bè ảnh hưởng đến bạn ra sao ?!",0,cá_sấu nước_mặn sống hội cá_heo thành_ra biết_điều bạn_bè ảnh_hưởng ? !
Cầu mong mọi người bình an! Việt Nam cố lên! Đất nước chiến thắng!,0,cầu_mong bình an ! việt nam cố ! đất_nước chiến_thắng !
Không hiểu sao thành phố bố trí khu tạm cư cho người dân chờ đền bù giải tỏa lại là những nơi này.,0,thành_phố bố_trí khu tạm_cư dân chờ đền_bù giải_tỏa
Định nghĩa diện tích là một nửa tích của chiều cao và chiều dài cạnh đáy.,0,định_nghĩa diện_tích nửa tích chiều chiều cạnh_đáy
Lúc đầu xe bồn chạy khá chậm nhưng không hiểu vì sao lại không dừng khi đèn đỏ mà chạy luôn vậy,0,đầu xe_bồn chạy chậm vì_sao dừng đèn_đỏ chạy luôn_vậy
Nếu dùng đinh đã không tồn tại đến ngày nay.,0,đinh tồn_tại ngày_nay
Cảm ơn vì 1 bài viết quá chất lượng,0,cảm_ơn viết chất_lượng
"Những ai cho rằng người điều khiển cuộc tranh luận đã thiên vị ông Joe thì rõ ràng chẳng biết luật chơi của cuộc tranh luận mà hai bên đã đồng ý đó là mỗi bên có 2 phút để trình bày trước quốc dân những chính sách cụ thể sẽ mang lại lợi ích cho đất nước nếu được bầu. Nếu bạn biết tiếng Anh thì ai cũng thấy Trump chơi trò cả vú lấp miệng em để không cho Joe trình bày. Mặc dầu Joe có bị tật nói cà lăm từ lúc bé nhưng Joe đã vượt qua và Joe có một quá trình và khả năng trình bày ràng rành mạch có sức thuyết phuc cao. Mặc dầu Joe đã lớn tuổi và không con sắc bén như trước nhưng tôi tin Joe la người lương thiện có đầy đủ khả năng cùng ban tham mưu của ông sẽ lèo lai con thuyền quốc gia Hoa Kỳ qua các cơn giông tố, không thùng rỗng thùng kêu to như Trump. Là một cử tri ở Hoa Kỳ 36 năm, tôi tin phiếu bầu của tôi và những cử tri trí thức khác sẽ loại bỏ Donald Trump vào ngày 3/11 nầy.",0,điều_khiển tranh_luận thiên_vị joe rõ_ràng chẳng luật_chơi tranh_luận ma hai đồng_ý phút trình_bày quốc dân sa ch cụ_thể se lợi_ích đất_nước bầu tiếng trump trò vú lấp miệng joe trình_bày mặc_dầu joe tật cà_lăm bé joe vươ joe quá_trình khả_năng trình_bày ràng rành_mạch sức thuyết phuc mặc_dầu joe lớn_tuổi sắc_bén joe la lương_thiện đầy_đủ khả_năng ban tham_mưu lèo lai thuyền quốc_gia hoa ky giông tố thùng rỗng thùng kêu to trump cử_tri hoa kỳ 36 phiếu bầu cử_tri trí_thức loại_bỏ donald trump 11 nầy
"Dã man quá, mất hết nhân tính rồi. Xin chia buồn cùng gia đình nạn nhân.",1,dã_man nhân_tính chia buồn gia_đình nạn_nhân
"Tôi cũng đã từng chỉ nặng 45 46kg triền miên gần 10 năm, sau hơn 2 năm tập gym giờ đã đc 60kg. Tự tin hơn rất nhiều, đây là 1 môm thể thao cải thiện vẻ ngoài rất tốt.",0,45 46kg triền_miên 10 tập gym 60kg tự_tin môm thể_thao cải_thiện_vẻ
Thuỳ Dung đẹp sx,0,thuỳ dung đẹp sx
"""Dragon Soul"" gì chứ, gọi là ""Tucson Soul"" mới đúng. Đến chán với xe TQ, hết thời nhái xe sang rồi đến giờ lại nhái xe bình dân, hãng xe thì lắm tiền sao không đầu tư tiền bạc vẽ ra thiết kế đặc trưng của hãng mình như Vinfast, nhìn không lẫn vào đâu được. Tiết kiệm làm gì vài đồng mà đi cop thiết kế của hãng xe khác không vậy.",1,dragon soul gọi tucson soul chán xe tq thời nhái xe nhái xe bình_dân hãng xe lắm tiền đầu_tư tiền_bạc vẽ thiết_kế đặc_trưng hãng vinfast lẫn tiết_kiệm đồng đi cop thiết_kế hãng xe
Ngoài clb HN thấy chuyên nghiệp. Phần còn lại thấy như giải bóng đá phố huyện.,0,clb hn chuyên_nghiệp giải bóng_đá phố huyện
Mấy ae cứ chê bai hoài Basa cũng khớ khớ hơn schalke rồi đó. :'),0,mấy anh_em chê_bai hoài basa khớ khớ schalke
"Bóng đá cũng chỉ một môn thể thao giải trí thôi mà thấy anh em còm men so sánh Cr7 M10 gắt quá. Cái đó các nhà báo, chuyên gia làm tốt hơn. Chúng ta hãy tận hưởng thôi.Tuy nhiên thì các chuyên gia thường so sánh Cr7 với M10, nhưng lại lấy Messi để so sánh với các huyền thoại thì chúng ta nên ngầm hiểu là Messi ở tầm nào rồi.",0,bóng_đá môn thể_thao giải_trí anh_em còm men so_sánh cr7 m10 gắt nhà_báo chuyên_gia chúng_ta tận_hưởng tuy_nhiên chuyên_gia so_sánh cr7 m10 messi so_sánh huyền_thoại chúng_ta ngầm messi tầm
"1. Mới tiêm 7/9 đến 16 lại tiêm, có gần quá không?2. Vaccin có bị gì không ?3. Bỏ một ngày tiêm phòng mà lo cho con sao lại đem gởi sớm thế, cơ sở này thế nào ?4. Phản ứng của tiêm phòng không nhất thiết phải 30 phút, vì tùy theo thể trạng của các bé có thể cả ngày mới phản ứng thuốc...5. Buồn !!!!!",0,tiêm 16 tiêm ? vaccin ? tiêm phòng lo đem gởi cơ_sở thế_nào ? phản_ứng tiêm phòng nhất_thiết 30 phút tùy thể_trạng bé có_thể phản_ứng thuốc buồn ! ! ! ! !
Accent bạn ạ. Hạng b chất lượng hàn nhật thời điểm này là như nhau. Cố thêm vài chục. Vios cũng ngon nhưng khổ nỗi vỏ tole mỏng như lá lúa hơi tiếc,0,accent hạng chất_lượng hàn nhật thời_điểm cố chục vios ngon khổ nỗi vỏ tole mỏng lá lúa hơi tiếc
"Kính chúc Tổng Thống Trump mau bình phục, đắc cử nhiệm kỳ 2 .",0,kính chúc tổng_thống trump mau bình_phục đắc_cử nhiệm_kỳ
Không bán vàng chị ơi. Vàng tăng trong 3 năm tới sẽ gấp đôi tài sản. Sau 3 năm nữa bán là ok.,0,vàng vàng gấp đôi tài_sản ok
Nhiều khi mình vô tpHCM đến mấy ngā tư muốn quẹo mà nhiều chỗ rất khó thấy tên đường góp phần nguy hiểm cho lái xe nhất là xe hơi vì lượng xe máy tp rất đông nên xe hơi muốn quẹo phải quan sát nhiều thứ như vậy rất nguy hiểm .,0,vô tphcm mấy ng tư quẹo chỗ đường góp_phần nguy_hiểm lái_xe xe_hơi xe_máy tp đông xe_hơi quẹo quan_sát như_vậy nguy_hiểm
"Mục đích của Bảo Hiểm là bảo vệ.Mỗi năm bạn trích 10-20% thu nhập ra để mua Bảo Hiểm Thì:Nếu mai mốt không may: Bạn ốm- bệnh tật thì gói bảo hiểm bạn mua có tích hợp sản phẩm bổ trợ như Bảo Lãnh- Thanh Toán Viện Phí, Trợ cấp y tế do phải nằm viện bị mất thu nhập...Thì Cty Bảo Hiểm sẽ thanh toán thay cho bạn, và trả cho bạn mỗi ngày nằm viện 1 số tiền nhất định do bạn bị mất thu nhập vì phải nằm viện...Và bạn vẫn giữ được và bạn vẫn giữ được số thu nhập 80-90% của năm đó.- Trường hợp rủi ra liên quan đến Sinh Mạng : Nếu ... thì từ số tiền nhỏ hàng năm 10-20% thu nhập mà bạn mua BH đó thì Cty Bh sẽ Thanh toán 1 khoản tương đối thay bạn báo hiếu cho cha- mẹ, những người thân ở lại vẫn có thể sống tiếp nhờ 1 khoản mà người ra đi để lại.Trường hợp bạn may mắn khỏe mạnh đến 99t; thì sau 15-20 năm bạn có 1 khoản tương đối từ khoản nhỏ bạn tích cóp cộng thêm lãi xuất.Còn về lấy tiền khó khi gặp rủi ro thì : Nếu bạn tuân thủ và hiểu điều khoản trong HĐ BH thì điều đó hoàn toàn không khó để lấy tiền.- Trừ khi bạn trục lợi BH thì bạn lấy tiền rất khó.",0,mục_đích bảo_hiểm bảo_vệ trích 10 20 thu_nhập mua bảo_hiểm mai_mốt may ốm bệnh_tật gói bảo_hiểm mua tích_hợp sản_phẩm bổ_trợ bảo_lãnh thanh_toán viện_phí trợ_cấp y_tế nằm viện thu_nhập cty bảo_hiểm thanh_toán thay nằm viện tiền nhất_định thu_nhập nằm viện thu_nhập 80 90 trường_hợp rủi liên_quan sinh_mạng tiền hàng 10 20 thu_nhập mua bh cty bh thanh_toán khoản tương_đối thay báo_hiếu cha_mẹ người_thân có_thể sống tiếp khoản đi trường_hợp may_mắn khỏe_mạnh 99t 15 20 khoản tương_đối khoản tích_cóp cộng lãi xuất tiền rủi_ro tuân_thủ điều_khoản hđ bh hoàn_toàn tiền trừ trục_lợi bh tiền
"Trận hôm quá hay thật, tiến lên Barca.",0,trận hôm tiến barca
Mình ăn duy nhất đồ có màu đen là bánh gai.,0,duy_nhất đồ màu đen bánh_gai
"Đến chính gia đình còn không quản lý được việc dùng điện thoai của con em mình thì đừng ném cái trách nhiệm ấy cho giáo viên hay nhà trường, Chính đến người trưởng thành còn không kiểm soát được bản thân trong việc sử dụng điện thoại thì làm sao con trẻ có thể làm được việc đó. Tôi thấy không cho học sinh sử dụng điện thoại là đúng, nếu chúng cần tìm tài liệu sau mỗi giờ học thì có thư viện, có phòng vi tính, giờ trường nào mà chẳng có cái đó, còn trong giờ học thì các em ngồi nghe, tiếp thu, không hiểu có thể ngay tại chỗ hỏi thầy cô. Nếu hợp thức hóa việc sử dụng điện thoại, mỗi khi có sự việc liên quan đến chiếc điện thoại với các em nhỏ thì quả bóng trách nhiệm nghiễm nhiên lăn đến chân các thầy cô, nhà trường và chính quyền. ",0,gia_đình quản_lý điện thoai con_em đừng ném trách_nhiệm giáo_viên nhà_trường trưởng_thành kiểm_soát bản_thân sử_dụng điện_thoại làm_sao con_trẻ có_thể học_sinh sử_dụng điện_thoại tài_liệu học thư_viện phòng vi_tính trường chẳng học tiếp_thu có_thể tại_chỗ thầy hợp_thức_hóa sử_dụng điện_thoại sự_việc liên_quan điện_thoại bóng trách_nhiệm nghiễm_nhiên lăn chân thầy nhà_trường chính_quyền
Làm sao các cô phản ứng kịp.,0,làm_sao phản_ứng kịp
trong khi mình thì kiếm 1 bé không ra. thật là đau lòng.,0,kiếm bé đau_lòng
Đây chính xác là nơi cr7 nên đến thể hiện đẳng cấp.,0,chính_xác cr7 thể_hiện đẳng_cấp
"Cám ơn các anh, cám ơn sự hỗ trợ của người dân! Xem clip thấy hồi hộp quá chỉ lo bên trong xe nó bắn trả.",0,cám_ơn cám_ơn hỗ_trợ dân ! clip hồi_hộp lo xe bắn
Bầu trời đỏ do tán xạ ánh sáng này rất giống với bầu trời đỏ của sao Hỏa!,0,bầu_trời đỏ tán_xạ ánh_sáng bầu_trời đỏ hỏa !
Roland Garros khởi tranhGặp thời tiết lạnh khó khăn quá chừngNadal thần tượng của mìnhBảo vệ ngôi báu thiệt tình khó đây!,0,roland garros khởi tranhgặp thời_tiết lạnh khó_khăn chừngnadal thần_tượng mìnhbảo vệ báu thiệt tình !
