comment;label
NHẠC SIÊU RÁC HƠN KHI MÀ BẬT TO VÀ NGHE 1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 lân;1
một mất mát nữa cho người điếc ;1
world cup 2026 music better 😂;0
​ @SMILEBURGER50 yes sir;0
Đổi giọng thì nghe được xa;0
Có lẽ bài Thao Túng Tâm Trí của Awai cũng không tệ đến thế;0
Hay quá;0
nhạc như dái bò mà vẫn đăng được lên;1
"1:07 xiaomi xiaomi xiaomi xiaomi...
Zalo...zalo..zaloooo";0
0:35 hay nhất;0
bai hat nay khien donald trump dit them 3 dua tre con nua tren epstein island;1
ê t nghe đc mỗi bài này với bài bang bang vĩnh cữu(nếu thay người hát)=)))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))));0
Cảm ơn vì nghe bài này là mình hết táo bón 🎉❤❤;1
Bài này tệ về cái giọng hát khủng bố này 🍋;0
t nghe mà tai t điếc tạm thời -));1
Ôg tóc trắng đoạn đầu hat rõ hay mà mấy ôg bà đằng sau hát nhhuuw cc t v🎉🎉🎉;1
Có karaoke chưa ạ;0
"Trong tất cả bài của nhóm này
Thì bài này nghe đag đc hơn
Nhưng mà tóm lại thà điếc còn hơn nghe mấy bài này🫩";1
đoạn đầu giai điệu như bài "anh chàng đẹp trai ngồi trong quán uống ly coffee...";0
Nhẹ hơn bói là j ???;1
Vãi cả phụ đề;0
Cái th tóc vàng nhìn ngu vcl😂;1
T bật chó nó nghe sủa um sùm luôn;1
Rating: Featured 🟡;0
Cho AI hát còn hay hơn :);0
 @ZillaPlayAG  t xin tự luyến t còn hát hay hơn cuốc cang;0
*Nhạy hơn bói mà;0
nah it is unrated;0
​ @shiversn-kxi Maybe;0
nhạc chó nghe còn chết;1
Đouma nhép sai nhịp ạ;1
nhạc như cậc;1
Bài này ra hồn nhất r;0
Ê bài này còn đỡ hơn mấy bài kia nhìu -);0
👍;0
bài duy nhất của nó mà t nghe đc;0
Miso miso miso;0
hack like hay gi ông nội😢😢;0
Bài này t thấy hay mà;0
Nghe hay mà;0
Thu âm bằng đt hả;0
Nhữg bài hát mà ổg hát hay nhất t từg nghệ🥰🥰;0
Hát đc cái bài t nghe mà hay nhất ổg hát 🥰;0
mẹo nghe bài của mấy khứa này là tua nhanh nghe sẽ đỡ hơn ý ( nói thật );0
giờ  gu nhạc 2k như thế này à các  em;0
Cảm ơn Quốc Kang và team Black Lion đã khiến ng bn của mik từ trầm cảm thành muốn nhảy l.ầ.u💔🥀;1
Thảm họa ân nhạc;0
Đỗ Phú Quý hát hay thật(nói thật);0
Bay hãy chạy qua bài last night của Treasure rửa tai ngay 🥰;1
Hôn như lày;1
Nghe như cứt😊;1
1:01 what is he doing??;0
hát rên à bạn;1
1:27 thích cái cách ổng đọc "oăn;0
t thấy attention hay hơn;0
t mở bài này cho người thực vật ☠☠☠💀💀💀 và họ co giật ngay tại chỗ;1
Lãng phí 3p cuộc đời😢;0
Tội nghiệp cái màng nhĩ của tôi T-T 💔🥀;1
Tao thấy hay mà;0
MV HAY LẮM Ạ MỖI LẦN EM ĐI ỈA THÌ EM ĐỀU BẬT LÊN ĐỂ KÍCH ỈA KHỎI PHẢI MUA THUỐC SỔ Ậ;1
Chê nha má;0
Wtf tao đang nghe cái gì đây;0
Tao đang nghe cc gỉ gậy trời 😢 thunhr moẹ amnf nhĩ rối loạn hành vi luôn  rdag;1
phí beat tht:"));0
Hát cc j v tr;1
"Cái nhạc muốn tra tấn lỗ tai 
Thích xiomi ";1
Bài này chỉ cần cải thiện beat;0
2026 còn ai nghe kh😂;0
beat rất hay 😘;0
t nhận ra  bài picklebal nó vẫn đc cái melody . Cái này chả đc cái mẹ j ;0
Nhạc cứ bj sao sao í =))))))) LOL;0
thảm họa âm nhạc là đây 😬;0
nghe cũng đc mà hát dở quá 😂😂😂😂;0
clm nghe tiếng đánh rắm còn lịch sự hơn bài này;1
em là bên công ty của rapper betekar;0
Nhờ bài hát này mà tôi nhận ra  píc cà bon hay như thế nào;0
Ê cái đoạn đầu và đoạn 1:30 nó hay nha;0
wowww ;0
Xàm vaiz mà vẫn xuất đc. Hát dở. Chx hay bằng t nx má ;1
Cái này đáng lẽ làm dụng cụ tra tấn thời trung cổ mới đúng;1
.;0
Đây là đối thủ đáng gờm của pickleball;0
NHAC NHU CAC;1
Tiếng anh bọn này sao sao đấy😡😑;0
khủng hoảng âm nhạc;0
nhạc như con 🐟;1
Nghe ngứa hết cả lỗ đít;1
Anh hẹn em pickeball vs last night bài nhạc dở nhất hiện tại vs bài nhạc dở nhất lịch sử!!!!!!;0
Nhạc này lm ra để cho mấy bọn trẻ con xem th mn Thoòng cảm;0
Đoạn đầu nghe còn đc lúc sau thì như 💩;0
án tử hình;1
T thấ bài này hay mà. ❤;0
2:06 xin em quần xì=)???;0
nghe xong hổn cái liều là gì;1
xin loi quoc kang;0
hazel tuổi con c gì;1
Nhạc giải trí mà. Mà làm nhạc cỡ này đoán là có ý đồ😂;0
"nhạc hay cũng ok mà anh em mỗi tội phát âm hơi ảo ảo tí mong team
 xửa chữa đưa ra xản phẩm hoàn hảo nhất";0
Cai lon gì thê này;1
pickle ball nghe còn hay hơn;0
Tôi thấy bài này hay mà nhỉ;0
1:05 thể loại TA thần thánh j thế này???;0
Absolute Trash;0
Tôi đã bật phụ đề mà vẫn ko bt hát cái j😅😅;0
Dù đây là mv có góc quay đầu tư nhất nhưng nhạc thì vẫn là đầu bùi😔✌️🥀;1
Ít ra nghe đỡ bón hơn Việt Nam mới tinh;1
Nhớ lại hồi tập múa ở mầm non :))));0
Wow hít như đạt lun😍;1
pro thực sự "offlical" khó viết đến thế à?;0
sợ quá cha nội ơi:face-pink-tears: phải đi toilet tận 100000 năm/ chắc thế chiến thứ 2 cũng thấy sợ nhạc huye diệt này;1
bit hay mà thg hát như cc;1
ko khéo tôi thấy chó sủa nghe con sướng hơn;1
Khi tao bị táo bón người đầu tiên tao nhớ bài hát và giọng hát khuôn mặt mày;1
"Có bản karaoke chưa bạn?
Cháu nhà mình thích bài này";0
Hít le nghe đc cs mà chết sớm hơn luôn đó☠️☠️☠️;1
Thảm họa âm nhạc lớn nhất mọi thời đại;0
Nợ Đỗ Phú Quý một lời xin lỗi ạ;0
Đoạn 3:04 hay quá trời mà;0
cmt này được 1 like tôi sẽ phát nó cho quán cf tôi làm nguyên ngày;0
MV phụ đề có mỗi cái cta cx sai;0
Toàn trai xinh gái đẹp mà cái giọng thì.......;0
Đối thủ của píc ca pon;0
Nó không hẳn là tệ mà là cực tệ;0
"Hình thức tra tấn mới năm 2025 
Tôi đã sống đủ lâu để chịu Đc đến phút cuối";1
Anh áo đem bát hay v ạ😍🦋🪝;0
Bài hay nhất của quốc kang đó;0
Tôi tưởng thế chiến thứ 2 đã là thảm họa tồi tệ nhất rồi 🐧☠️;1
giống đi tập dưỡng sinh ghê á🥰🥰;0
cảm ơn nhạc này đã khiến tôi bị đuổi ra khỏi nhà;1
quốc kang và những tạp âm của anh ấy;1
Ok;0
Bài này k đc phát hành;0
1:56 san bằng âm nhạc đúng nghĩ đen;0
Ngoài quốc kang và cái ông mullet kia thì thấy còn lại hát cũng bth;0
để tên bài là last night mà mv lại quay buổi sáng là s 💔;0
nhạc trầm chắc pic còn sợ;0
nhạc như cc;1
"Mik nghĩ bài này hit,  hit như cứt";1
Đc 36s đầu còn đâu hỏng tai😂;1
miso miso miso miso miso yolo yolo🍜🗣🗣🗣🗣;0
"cảm ơn bạn,  ông hàng xóm mình bị tai biến nghe bài này xong tự ngồi dậy ăn cơm được rồi";1
cảm ơn Vì giúp Con chó bị táo bón của tôi ỉa dc Sau khi nghe🗿;1
Hát như Iồn;1
thua nhạc t làm;0
mẹ quả phụ đề;0
Tao thề tao nghe bài  tq nó hay hơn mấy ô này hát như lz;1
tôi cảm giác mình có thể debut thành ca sĩ;0
nếu như bài này xuất hiện ở thế chiến hai có lẽ nó ko phải là thảm họa duy nhất kinh khủng;1
Nghe nhiều quá thấy nó cứ hay hay sao í:));0
"Nhạc hay quá❤















Hay đến mức hàng xóm tôi đập mẹ cửa kính nhà tôi để nghe rõ hơn :v";1
ko phế 1 mik ;1
Đỗ Phú Quý v2;0
Ông autotune cũng bó tay bỏ việc với kiệc tác này;1
Hài mà 😂;0
bro thực sự ko thể viết đc chữ Official 😨;0
Má tao thề bà mun yêu thằng này được luôn á;0
Hát như;0
Bài này có thể giúp tôi ko ngủ cả đêm;1
đeck nghe đc ra lời j 🤓 ☝;1
nhảy như ko nhảy động tác cứng đờ;0
💩;1
ver 2 nghe đc nhất còn lại thì hấp diêm lỗ tai người nghe;1
Trờiiiii;0
Nhứk đít;1
Hit như đạt;1
Nhóm nhạc hủy diệt;0
Bài này còn đỡ hơn mấy bài khác💔;0
mọi thứ đều ổn đến khi..... anh ấy cất tiếng hát thì như là thảm họa titanic ngày đó lập lại;1
bro tưởng mik hát rất hay💔💔🥀🥀💔💔;1
sản phẩm ổn nhất :));0
Ít nhất bãi này còn đỡ hơn mấy đống hổ lốn còn lại😅;1
chắc beat hay nhất;0
em yêu ck em là mun . anh đừng buồn vì bị toixic ;0
ts song so buns bro;0
các anh có thiên phú tiềm ần .nên ẩn nó đi anh;1
em tên đạt e fan a yêu yêu;0
Xin lỗi;0
tôi hối hận khi nói thằng em họ hát dở hơn quốc kang😭😭😭;1
Thà cho ng khác hát con đỡ hơn;0
bài hát này như kiểu cả team cùng làm bài tập nhóm vậy á;0
cảm ơn âm nhạc....;1
Thật giát vàng nỗ tay;1
Ko hay bằng atsh;0
Nghe dở z mà dc 1tr 1 lượt xem hiệu ứng truyền thông =));0
Từ video top 5 bài hát thảm hoạ 2025 qua;0
Lời không tệ;0
Chắc đám này giỏi rên chứ k giỏi hát :));1
Sos quốc kang kìa 😮;0
Nếu âm nhạc cũng có điểm tận cùng  thì bài hát này đã chạm đến nó – một giới hạn mà người thực vật như tôi phải bật dậy để tắt nó đi;1
nhạc như đấm vào lỗ tai người nghe😇;1
Mọe t nghe Việt Nam mới tinh đỡ bại não hơn :);1
Đã nghe hết cứu;1
Nghe mấy bài mới của ảnh xong thấy bài này không tệ;0
mih thấy cái nhạc nền nghe cx gọi là bắt tai chủ yếu là tại giọng hát còn yếu yếu vs hình ảnh chx đầu tư=) t nhìn cái tổng vũ đạo 5 ng mà t nghĩ lại thời diễn văn nghệ mầm non ds;0
Pickle ball gọi=mồm 🗣️🔥;1
Nhạc như cc;1
"Quốc kang














Hốt như làn 😢";1
Đoạn đầu tạm;0
cảm ơn nhạc của cả nhóm;0
Chắc nge lời tụi bạn khen rồi tin đi quay mv chứ j😂😂;1
Bài hay nhất của kang;0
Ê nhột nha . Nhột như làng;1
Tôi là người Nhật đang học tiếng Việt;0
"cảm ơn anh nhiều  nhờ nhạc của anh mà thanwgfbanj em bị tê liệt đã có thể đứng dậy tắt nhạc
dcm con chó Quốc Kang";1
Sĩ cho ai xem vậy ?;0
e vậy là pickleball vẫn hay hơn nhỉ;0
nhạc anh team này hay quá 🥵🥵🥵;0
Đã tai thiệt;0
dih touching song😭😭😭;1
Mấy anh kia hát còn được chứ ;0
01:08 Sô mi sô mi sồ số mi😂😂😂😂😂😂😂😂😂😂😂;0
nhạc như cái db.hát như c thì đừng hát;1
Xem lại bài này hay nhất;0
Làm nghề dj mà lm quả nhạc này khách hàng nó đánh chết;1
thích mỗi đoạn cà hẩy;0
hay qua anh oi :));1
Bài này thực sự đã vượt xa cơn ác mộng mang tên "pickle ball";1
Bài hát gớm nhất;0
Hát dở như hạch;0
Anh hẹn em pickelball chỉ còn là cái tên🎉;1
Bẩn cái lỗ tai bố;1
2:09 xin em quần xì wtf 😭😭😭;0
T khẳng định quốc kang không bằng 1 cọng lông dái của Sơn Tùng M-TP;1
That thing is blessing my ears💔😭;1
chúng ta nợ đpq một lời xin lỗi;0
Nghe xog bài này nghe lại bài "vì sao tôi là gay" mak thấy tuyệt phẩm;0
sau khi nghe xong thì tui thấy pickle ball hay vcl;0
Từ hát đến nhảy như xúc phạm khán giả;1
nghe như đấm vào tai;1
mik tin bài này sẽ hit ...hit như đạt;1
tiếng hát vọng lại từ địa ngục🥵🥵🥵🥵🥵🥵;1
"Hay quá
Phải chi t k tò mò 😇😇😇";1
Có thể k nhảy đc k 😅😅😅;0
Thật tuyệt vời khi thấy nhóm nhạc ra một sản phẩm chất lượng như vậy;0
0:47 giọng gay vl;1
nghe nhieu cung thay hay :face-purple-crying:;0
Đây là thảm  họa mới của thế giới nó còn đáng sợ hơn cuộc khủng bố IS .;1
Cảm ơn bạn đã giúp thằng em tui bị câm mà giờ nói đc tiếng anh r 🥰;1
Cảm ơn bài bài hát vì thg bn bị liệt nửa ng tôi bật bài này xog nó lại đứng lên đập tv dc;1
toi bi tri nhung khi nghe bai nhac nay toi da ia ra 10 bai cut;1
nhạc như cailon;1
Chiến tranh thế giới thứ 2 chỉ còn là cái tên....;1
ấu dâm + cận huyết;1
dở mà vẫn cày view thì chịu r;0
3:04 đoạn này hay;0
Cha là Quockhang con là Vstar;0
Luyện tập thêm tầm 10 năm nữa;0
"bạn tôi đã nghe và đánh giá là nó hay vì bạn tôi bị điếc bẩn sinh xinh mọi ng góp ý cho bn tôi
(sự thật) :)";1
Hiếp dâm lỗ tai;1
Nhạc như đb;1
"bài này khiến tôi phải hét





 hét như ả";1
má nghe trên tt như cức mà sao qua bản gốc nghe cx hay mà tar;1
Đúng thật=)))))))) không đến nỗi;0
bùng cháy lên nào;0
Này lên xe xe tải (tải vệ)😂😂;1
Hát gì mà ko nghe đc lời luôn;0
mình đang tập viết nhạc... cảm ơn bạn đã làm mình không tự ti <3;1
Hát dở ;0
Khi cả năm em cùng hoà âm một lượt ở đoạn 0:55  tui mới biết  thực ra đây là một tiểu phẩm tấu hài.;1
"1 là đừng hát nhép 
2 là hát nhép cho hẳn hoi 
chứ cái này thì cho ng điếc nghe  mù nhìn nó còn vả cho";1
Cảm ơn quốc kang  nhờ bài hát này tôi bị đau bụng và nghe bài này xong tôi đã có thể đứng dậy tắt tivi😊❤🥰;1
Đỗ Phú Quý với KSI cũng chào thua thôi;0
Bà này hay hơn mấy bài sau cùng;0
có lẽ đây là 1 bài dễ nghe nhất của quốc kang;0
bài này rất có hồn hồn như lát;1
Thấy cx đc;0
xin chao nhom nhac quan minh ban caffee neu cmt nay dc 20like minh cho khach uong ca phe va nghe bai nay car ngay;0
+1 thảm họa âm nhạc 2025 thua mỗi cái vợt của quí;1
Ai đó có thể giúp tôi tắt tv với tôi hối hận vì đã lọ quá nhiều khiến bị liệt tay🐧🐧😭😭😔;1
Mấy người từng chê jack;0
Tôi đánh giá cao sự can đảm và xông pha của các bạn. Còn lại tôi cảm thấy nhạc phùng khánh linh và vũ thanh vân quá hay;1
Dẹp bài picker ball với trình sang một bên đi;0
Thôi thì cảnh cx đẹp :))));0
Pickle bal ahhh cmt;0
Có thể gu tôi hơi khác nhưng vài đoạn khá hay nhưng vài đoạn giọng chưa đủ cao nghe nó siêu táo bón;1
Bạn tôi bị liệt 20 năm rồi;1
1:43 ớ ơ ơ ờ;1
Dù gì bài này cũng đỡ;0
quoc kang chi bu buoi oi;1
các đặc vụ của chúng ta sẽ phải nghe bài này nếu nó dc phát hành vào năm 1971;1
Trong khi mấy bài hay chỉn chu còn chưa đc 1tr view ;0
Xin lỗi vid ngày xưa đã chê chứ giờ nghe lại thấy ổn vcl hơn mấy mv sau;0
Tôi từ người bẩm sinh bị đơn à điếc đã biến thành một chuyên gia âm nhạc ngay sau khi nghe bài hát này😂😅😅;1
Phim kinh dị nên lấy nhạc quốc kang để ghép nhạc nền❤;1
Phim kinh dị nên lấy nhạc quốc kang để ghép nhạc nền❤;1
"Tôi quay về đây sau khi nghe “rắc tê rắc ta” và thấy cái này nó không tệ đến thế
Thêm: có vẻ như toàn bộ kinh phí thằng Quốc Kang có nó đổ hết vào bài này thì phải";0
hay quá ạ;0
Mik ko hiểu sao cái nhạc này đến cả phụ đề còn ko dịch nổi;0
hát như thái vào Iồn;1
t thấy còn ổn tí trừ cái tiếng anh nghe như rên;1
Dưỡng sinh hả🥲;0
Bài này hay nhất r;0
Sáng sớm ra đã được trị táo bón;1
ngại hết cả nhạc 😭;0
Chào acc phụ của Quốc Kang;0
​​ @DUYEeee  theo tôi thì bài này như cức nhưng mà ít ra vẫn còn vài đoạn nghe đc chứ thực sự mấy bài sau nghe mà muốn ung thư ấy☠️;1
Nếu comment này đc 30 like;0
khê;0
hay vãi;0
nhạc hay vãi lồn:);1
Nhạc nghe hiếp dâm lỗ tai;1
chắc bài này là ổn nhất rồi;0
Khê quá;0
Ngại hết cả Quốc kang;0
Nghe trên mạng ;0
cuối cùng video mv của quốc kang đc 1 triệu view🗿;0
Mà rap hay á;0
"Thực ra bài này tôi nghe thấy cũng ok đấy
Còn những bài sau thì..............chịu";0
bài này hay hơn no flex...;0
Đc cái nhép ko trúng câu nào🥰;0
Hết bón luôn rồi;1
Bài này đâu đến nỗi ak 😢;0
Càng ngày càng hát hay😂😂😂;0
Ê nhưng mà nghe kĩ lại thì hay thật nha không đùa 😮😮;0
Bỏ thg tuan ra hay ia;1
VL 1 triệu view xúc phạm vpop vl;1
dc r;0
 @Bug_g9  damn:face-fuchsia-tongue-out:;0
Tội nghiệp học sinh trường bạn;0
Có vẻ ko đc gồi 😊;0
43 gòi bạn oi;0
Còn sống không bạn;0
lớp bạn có lên núi ở một thời gian không 😂;0
Vì mấy bài gần đây quá tệ;0
hát hay quá. giải nghệ di anh 🥰;1
hát như đấm vào tai;1
Má đc 1tr view r kkk;0
0:37 thẩm được mỗi đoạn này;0
Vl thảm họa này tận 999N view?😂;1
Tốn tiền mạng nhà bố m;1
bài này chắc chắn sẽ thành hit hít như đạtc;1
tự nhiên nghe bài Trình & Pickeball còn hay hơn;0
Nếu bạn chọn mục chủ đề thì nó thực sự có phần "nhạc jack còn hay hơn";0
nhạc hay quá em nghe và đã nwng;1
sắp được 1tr view rồi kìa;0
Mới đầu nghe k hay;0
nhạc rất là ''CATHCHY'' luôn;1
cảm ơn nha đc tẩy giun free luôn;1
Cmon team blacklion đã giúp mình ói khi đag mắc xương cá;1
Rửa tai gấp;1
Uầy gần được 1tr view r kìa 😂😂🎉;0
dát vàng lỗ tai;1
CẢM ƠN QUỐC KANG ĐÃ RA NHẠC VÀ ĐÃ GIÚP TÔI RẶN Ẻ DỄ HƠN;1
nhạc này lm t ear dễ hơn;1
kcs đâu b oi;0
 @krl.ryieee_reiyiiii mai kia là lên 1M r ko có gì;0
​ @krl.ryieee_reiyiiii Lên rồi 1M rồi;0
Mấy ô kia gánh còng lưng;0
hon ca kpop;1
hốt như làn;1
vl gần 1 tr view luôn;0
hay phết chứ đùa;0
0:27 cùng khiêu vũ dưới ánh mặt trăng khi trời sáng;0
Bài như bào tuôi;1
Má ơi tai t bị tra tấn!!!;1
cách tra tấn kinh dị hơn pickleball;1
Bài này hay quá;0
+1 thảm họa âm nhạc 💀💀💀;1
Ha ha;0
ai chứ riêng tao fan ruột quốc kang;0
Ông thứ 2 hát hay hơn Quốc Kang;0
Hát như con cặc;1
hay qua ae;0
tôi thề khi nghe xong thì tôi sẽ không đạt điều kiện trong một buổi khám quân sự vì có dấu hiệu bị tâm thần 🐧;1
SẼ HAY;0
đoạn đầu hay;0
"HAY QUÁ 
EM MUỐN THỬ ĐẦM";1
bài này hay nhất cái album từ ngày ra bài Em sáng đến h😔;0
Bài này chắc là hay nhất trong album thảm hoạ của ông r;0
Cmt pickleball be like :;0
đây là mv đầu tư nhất;0
Thấy cx hay mà:);0
bài này hay quá anh ơi;0
anh hát hay quá ❤❤❤❤❤❤😊;0
Có ai bt mấy người hát trong MV này tên gì ko dị xin tên với:))));0
lời bài hát kiểu gì vậy😂;0
0:12 thảm họa;0
cảm ơn quốc kang và mọi người vì bài hát này thàng bạn em bị liệt nhiều năm khi nghe nhạc nó phải đứng để tắt nhạc❤❤😍😍;1
Thế này là vượt mức pickel ball r;0
Thế này là vượt mức pickel ball r;0
Tôi thấy bàu này so với Pickleball cũng 1 chín 1 tái đóa;0
Thảm hoạ âm nhạc tht;1
Nhảy như thể dục đầu giờ 😂;1
hat nhu ia vao tai;1
Cảm ơn nhóm ;0
Âu mài gót;0
Vcl;1
pickleball phải gọi bằng ông cố nội;1
ngọng níu ngọng no ahh song 🥀🥀🥀🥀🥀;0
Thà nghe pickleball 100 lần hơn nghe bài này lần 2;0
Cái quái j vừa diễn ra vậy các đồng chí;0
Giải trí cực mạnh;0
Phần dance tôi muốn die;0
xem xong sợ người nước ngoài xem được;0
Nghe như Iồn;1
